Tar_AVG,UR_inst,Vvento_ms_AVG,Dvento_G,Qg_AVG,Chuva_mm,Patm_kPa_AVG,TS
21.2,77.3,2.9,139.7,0.00,0.0,,1997-01-01 00:15:00
21.1,77.4,3.0,139.8,0.00,0.0,,1997-01-01 00:30:00
21.2,76.7,3.1,135.1,0.00,0.0,,1997-01-01 00:45:00
21.2,76.2,3.3,131.4,0.00,0.0,,1997-01-01 01:40:00
21.3,75.7,3.2,132.5,0.00,0.0,,1997-01-01 01:55:00
21.2,76.1,3.2,130.9,0.00,0.0,,1997-01-01 02:10:00
21.1,76.9,3.3,130.3,0.00,0.0,,1997-01-01 02:25:00
21.1,76.5,3.8,130.8,0.00,0.0,,1997-01-01 03:20:00
21.0,77.2,3.2,126.3,0.00,0.0,,1997-01-01 03:35:00
20.9,77.6,3.1,123.4,0.00,0.0,,1997-01-01 03:50:00
21.0,78.1,3.1,136.4,0.00,0.0,,1997-01-01 04:05:00
20.8,79.0,2.8,138.2,0.00,0.0,,1997-01-01 05:00:00
20.8,79.5,3.2,139.2,0.00,0.0,,1997-01-01 05:15:00
20.8,79.0,2.9,121.8,0.00,0.0,,1997-01-01 05:30:00
20.7,78.9,2.3,126.0,0.00,0.0,,1997-01-01 05:45:00
20.6,79.3,2.3,128.9,0.00,0.0,,1997-01-01 06:40:00
20.5,80.2,2.0,158.6,0.00,0.0,,1997-01-01 06:55:00
20.3,81.7,1.8,169.9,0.00,0.0,,1997-01-01 07:10:00
20.0,83.3,1.7,172.4,0.00,0.0,,1997-01-01 07:25:00
20.0,83.9,1.9,167.6,0.00,0.0,,1997-01-01 08:20:00
20.0,83.5,2.4,155.5,0.00,0.0,,1997-01-01 08:35:00
20.0,83.8,2.4,154.0,0.00,0.0,,1997-01-01 08:50:00
20.0,84.1,2.0,166.7,9.31,0.0,,1997-01-01 09:05:00
20.0,83.3,2.3,150.8,28.03,0.0,,1997-01-01 10:00:00
20.2,82.1,2.4,143.6,50.78,0.0,,1997-01-01 10:15:00
20.3,81.4,3.1,140.7,75.10,0.0,,1997-01-01 10:30:00
20.5,80.4,3.5,141.1,96.10,0.0,,1997-01-01 10:45:00
21.2,79.2,3.5,135.8,152.40,0.0,,1997-01-01 11:40:00
21.0,78.7,2.5,125.8,151.10,0.0,,1997-01-01 11:55:00
22.4,79.4,2.4,122.0,400.30,0.0,,1997-01-01 12:10:00
22.9,77.6,2.5,123.9,496.00,0.0,,1997-01-01 12:25:00
22.9,76.8,2.9,117.9,341.00,0.0,,1997-01-01 13:20:00
22.8,77.8,2.8,125.7,323.00,0.0,,1997-01-01 13:35:00
23.1,77.4,2.7,127.9,300.90,0.0,,1997-01-01 13:50:00
23.5,76.8,1.9,115.6,388.40,0.0,,1997-01-01 14:05:00
23.8,75.9,1.9,128.9,377.90,0.0,,1997-01-01 15:00:00
23.8,74.4,1.9,118.8,345.80,0.0,,1997-01-01 15:15:00
24.3,73.0,1.8,143.9,435.60,0.0,,1997-01-01 15:30:00
24.6,71.4,2.1,127.8,472.20,0.0,,1997-01-01 15:45:00
25.1,70.2,2.2,143.7,453.50,0.0,,1997-01-01 16:40:00
25.6,68.9,1.7,118.9,590.80,0.0,,1997-01-01 16:55:00
26.4,68.4,1.0,87.0,563.90,0.0,,1997-01-01 17:10:00
26.2,68.4,1.8,112.5,531.30,0.0,,1997-01-01 17:25:00
26.5,66.7,2.1,124.3,721.00,0.0,,1997-01-01 18:20:00
26.8,64.7,2.1,116.5,638.70,0.0,,1997-01-01 18:35:00
27.0,65.1,2.0,113.9,712.00,0.0,,1997-01-01 18:50:00
27.3,62.3,2.2,136.8,798.00,0.0,,1997-01-01 19:05:00
27.9,63.0,1.9,135.4,765.00,0.0,,1997-01-01 20:00:00
28.0,63.2,1.6,128.4,763.00,0.0,,1997-01-01 20:15:00
28.2,61.7,2.5,138.9,843.00,0.0,,1997-01-01 20:30:00
28.2,61.5,2.3,146.7,623.90,0.0,,1997-01-01 20:45:00
28.7,59.7,1.8,122.0,641.40,0.0,,1997-01-01 21:40:00
28.5,59.4,2.4,136.2,495.60,0.0,,1997-01-01 21:55:00
28.4,61.1,2.0,122.3,415.80,0.0,,1997-01-01 22:10:00
28.7,59.6,2.0,128.9,516.10,0.0,,1997-01-01 22:25:00
28.9,59.7,2.6,135.1,619.30,0.0,,1997-01-01 23:20:00
29.2,57.7,2.4,142.2,615.50,0.0,,1997-01-01 23:35:00
28.9,58.3,2.6,139.4,545.00,0.0,,1997-01-01 23:50:00
29.5,55.6,3.7,137.6,778.00,0.0,,1997-01-02 00:05:00
29.2,54.5,3.2,130.6,501.90,0.0,,1997-01-02 01:00:00
29.2,52.0,3.5,137.3,632.90,0.0,,1997-01-02 01:15:00
29.6,52.1,3.1,141.0,661.30,0.0,,1997-01-02 01:30:00
29.6,50.6,3.0,130.2,643.30,0.0,,1997-01-02 01:45:00
29.3,49.4,3.5,129.7,452.10,0.0,,1997-01-02 02:40:00
28.9,52.1,3.9,148.2,359.50,0.0,,1997-01-02 02:55:00
28.5,57.6,4.5,147.9,324.10,0.0,,1997-01-02 03:10:00
28.2,59.5,4.0,148.7,249.10,0.0,,1997-01-02 03:25:00
28.3,58.4,5.1,154.6,359.10,0.0,,1997-01-02 04:20:00
27.9,58.6,5.6,149.2,298.70,0.0,,1997-01-02 04:35:00
27.6,59.8,4.6,145.1,131.50,0.0,,1997-01-02 04:50:00
27.2,60.8,4.3,147.7,72.60,0.0,,1997-01-02 05:05:00
26.9,60.0,4.7,141.1,92.60,0.0,,1997-01-02 06:00:00
26.5,60.7,4.6,143.2,65.38,0.0,,1997-01-02 06:15:00
26.0,60.6,4.7,142.8,31.02,0.0,,1997-01-02 06:30:00
25.5,61.6,5.2,143.0,26.08,0.0,,1997-01-02 06:45:00
25.0,62.6,5.1,139.1,17.95,0.0,,1997-01-02 07:40:00
24.5,64.9,4.2,134.6,0.00,0.0,,1997-01-02 07:55:00
24.0,67.0,3.8,134.7,0.00,0.0,,1997-01-02 08:10:00
23.8,67.9,4.1,128.6,0.00,0.0,,1997-01-02 08:25:00
23.7,68.6,3.9,128.0,0.00,0.0,,1997-01-02 09:20:00
23.5,70.3,2.6,124.7,0.00,0.0,,1997-01-02 09:35:00
23.4,70.9,2.8,125.1,0.00,0.0,,1997-01-02 09:50:00
23.1,72.4,3.4,139.4,0.00,0.0,,1997-01-02 10:05:00
22.9,74.2,3.9,145.2,0.00,0.0,,1997-01-02 11:00:00
22.5,76.1,3.5,139.8,0.00,0.0,,1997-01-02 11:15:00
22.3,76.4,3.3,134.0,0.00,0.0,,1997-01-02 11:30:00
22.4,74.6,3.3,128.6,0.00,0.0,,1997-01-02 11:45:00
22.3,74.5,2.9,129.3,0.00,0.0,,1997-01-02 12:40:00
22.1,74.5,3.2,136.0,0.00,0.0,,1997-01-02 12:55:00
22.1,74.0,3.1,131.9,0.00,0.0,,1997-01-02 13:10:00
22.0,74.0,3.3,133.5,0.00,0.0,,1997-01-02 13:25:00
21.9,74.7,2.9,131.8,0.00,0.0,,1997-01-02 14:20:00
21.7,76.0,2.4,135.6,0.00,0.0,,1997-01-02 14:35:00
21.4,77.5,2.2,137.9,0.00,0.0,,1997-01-02 14:50:00
21.3,78.1,2.8,143.1,0.00,0.0,,1997-01-02 15:05:00
21.2,78.0,2.8,136.4,0.00,0.0,,1997-01-02 00:00:00
21.2,77.3,2.9,139.7,0.00,0.0,,1997-01-02 00:15:00
21.1,77.4,3.0,139.8,0.00,0.0,,1997-01-02 00:30:00
21.2,76.7,3.1,135.1,0.00,0.0,,1997-01-02 00:45:00
21.2,76.2,3.3,131.4,0.00,0.0,,1997-01-02 01:40:00
21.3,75.7,3.2,132.5,0.00,0.0,,1997-01-02 01:55:00
21.2,76.1,3.2,130.9,0.00,0.0,,1997-01-02 02:10:00
21.1,76.9,3.3,130.3,0.00,0.0,,1997-01-02 02:25:00
21.1,76.5,3.8,130.8,0.00,0.0,,1997-01-02 03:20:00
21.0,77.2,3.2,126.3,0.00,0.0,,1997-01-02 03:35:00
20.9,77.6,3.1,123.4,0.00,0.0,,1997-01-02 03:50:00
21.0,78.1,3.1,136.4,0.00,0.0,,1997-01-02 04:05:00
20.8,79.0,2.8,138.2,0.00,0.0,,1997-01-02 05:00:00
20.8,79.5,3.2,139.2,0.00,0.0,,1997-01-02 05:15:00
20.8,79.0,2.9,121.8,0.00,0.0,,1997-01-02 05:30:00
20.7,78.9,2.3,126.0,0.00,0.0,,1997-01-02 05:45:00
20.6,79.3,2.3,128.9,0.00,0.0,,1997-01-02 06:40:00
20.5,80.2,2.0,158.6,0.00,0.0,,1997-01-02 06:55:00
20.3,81.7,1.8,169.9,0.00,0.0,,1997-01-02 07:10:00
20.0,83.3,1.7,172.4,0.00,0.0,,1997-01-02 07:25:00
20.0,83.9,1.9,167.6,0.00,0.0,,1997-01-02 08:20:00
20.0,83.5,2.4,155.5,0.00,0.0,,1997-01-02 08:35:00
20.0,83.8,2.4,154.0,0.00,0.0,,1997-01-02 08:50:00
20.0,84.1,2.0,166.7,9.31,0.0,,1997-01-02 09:05:00
