Tar_AVG,UR_inst,Vvento_ms_AVG,Dvento_G,Qg_AVG,Chuva_mm,Patm_kPa_AVG,TS
21.3,100.0,0.2,108.2,0.0,0.0,,2009-01-01 00:15:00
21.1,100.0,0.3,109.9,0.0,0.0,,2009-01-01 00:30:00
21.0,100.0,0.3,110.6,0.0,0.0,,2009-01-01 00:45:00
21.1,100.0,0.4,116.1,0.0,0.0,,2009-01-01 01:40:00
21.0,100.0,0.3,105.1,0.0,0.0,,2009-01-01 01:55:00
21.0,100.0,0.2,65.6,0.0,0.0,,2009-01-01 02:10:00
20.9,100.0,0.2,11.3,0.0,0.0,,2009-01-01 02:25:00
20.9,100.0,0.2,53.9,0.0,0.0,,2009-01-01 03:20:00
20.8,100.0,0.2,51.7,0.0,0.0,,2009-01-01 03:35:00
20.7,100.0,0.2,49.9,0.0,0.0,,2009-01-01 03:50:00
20.8,100.0,0.2,56.9,0.0,0.0,,2009-01-01 04:05:00
20.7,100.0,0.2,84.3,0.0,0.0,,2009-01-01 05:00:00
20.6,100.0,0.2,79.6,0.0,0.0,,2009-01-01 05:15:00
20.5,100.0,0.2,50.1,0.0,0.0,,2009-01-01 05:30:00
20.4,100.0,0.3,39.5,0.0,0.0,,2009-01-01 05:45:00
20.4,100.0,0.2,351.8,0.0,0.0,,2009-01-01 06:40:00
20.5,100.0,0.2,320.5,0.0,0.0,,2009-01-01 06:55:00
20.5,100.0,0.2,300.0,0.0,0.0,,2009-01-01 07:10:00
20.5,100.0,0.2,338.1,0.0,0.0,,2009-01-01 07:25:00
20.5,100.0,0.2,308.2,0.0,0.2,,2009-01-01 08:20:00
20.4,100.0,0.2,317.1,0.0,0.3,,2009-01-01 08:35:00
20.4,100.0,0.5,314.0,0.0,0.1,,2009-01-01 08:50:00
20.4,100.0,0.9,309.1,0.0,0.1,,2009-01-01 09:05:00
20.4,100.0,0.6,300.2,5.85,0.0,,2009-01-01 10:00:00
20.4,100.0,0.7,289.7,9.24,0.0,,2009-01-01 10:15:00
20.5,100.0,0.8,289.4,14.52,0.0,,2009-01-01 10:30:00
20.6,100.0,0.7,340.3,23.8,0.1,,2009-01-01 10:45:00
20.7,100.0,0.2,45.5,36.34,0.0,,2009-01-01 11:40:00
20.5,100.0,0.3,48.4,60.25,0.0,,2009-01-01 11:55:00
20.6,100.0,0.3,65.6,97.9,0.1,,2009-01-01 12:10:00
20.8,100.0,0.6,79.5,124.3,0.0,,2009-01-01 12:25:00
20.9,100.0,0.7,24.9,102.0,0.0,,2009-01-01 13:20:00
20.9,100.0,1.4,229.4,95.7,0.0,,2009-01-01 13:35:00
20.9,100.0,0.9,223.1,179.6,0.0,,2009-01-01 13:50:00
21.4,100.0,0.5,246.7,254.1,0.0,,2009-01-01 14:05:00
21.9,100.0,1.2,219.6,280.9,0.0,,2009-01-01 15:00:00
22.0,100.0,1.2,199.8,212.6,0.0,,2009-01-01 15:15:00
22.2,100.0,1.0,178.6,249.5,0.0,,2009-01-01 15:30:00
22.6,100.0,0.9,193.7,326.7,0.0,,2009-01-01 15:45:00
23.0,98.7,0.9,159.1,330.4,0.0,,2009-01-01 16:40:00
23.5,96.3,0.7,110.9,446.4,0.0,,2009-01-01 16:55:00
24.2,93.8,0.8,135.0,598.8,0.0,,2009-01-01 17:10:00
24.7,92.0,0.6,147.1,643.6,0.0,,2009-01-01 17:25:00
25.0,89.0,0.5,116.2,617.9,0.0,,2009-01-01 18:20:00
25.7,87.4,0.6,70.4,511.6,0.0,,2009-01-01 18:35:00
25.4,87.6,0.4,16.7,418.5,0.0,,2009-01-01 18:50:00
25.6,86.4,0.4,301.2,648.1,0.0,,2009-01-01 19:05:00
26.1,82.7,0.8,0.8,671.4,0.0,,2009-01-01 20:00:00
26.0,84.7,1.2,324.8,594.5,0.0,,2009-01-01 20:15:00
26.2,84.8,0.8,348.3,737.0,0.0,,2009-01-01 20:30:00
26.2,85.9,1.4,341.1,446.9,0.0,,2009-01-01 20:45:00
26.0,85.9,1.1,314.0,493.1,0.0,,2009-01-01 21:40:00
26.2,84.2,0.8,287.0,569.6,0.0,,2009-01-01 21:55:00
26.7,81.8,0.9,329.2,623.4,0.0,,2009-01-01 22:10:00
26.9,81.5,0.6,317.4,577.7,0.0,,2009-01-01 22:25:00
27.0,79.7,0.5,249.1,697.8,0.0,,2009-01-01 23:20:00
27.4,78.6,1.3,256.6,818.0,0.0,,2009-01-01 23:35:00
27.5,80.3,0.9,16.1,741.0,0.0,,2009-01-01 23:50:00
27.9,77.5,1.0,0.4,736.0,0.0,,2009-01-02 00:05:00
27.4,76.2,0.8,319.8,480.7,0.0,,2009-01-02 01:00:00
27.5,78.5,1.0,357.4,337.2,0.0,,2009-01-02 01:15:00
27.4,77.4,0.4,25.8,406.6,0.0,,2009-01-02 01:30:00
27.8,75.0,0.7,31.1,443.6,0.0,,2009-01-02 01:45:00
27.9,76.7,0.5,324.1,404.0,0.0,,2009-01-02 02:40:00
27.6,73.9,0.6,301.8,258.9,0.0,,2009-01-02 02:55:00
27.7,73.9,0.4,331.1,212.4,0.0,,2009-01-02 03:10:00
28.1,73.0,0.3,358.5,250.3,0.0,,2009-01-02 03:25:00
28.0,73.3,0.2,329.2,190.4,0.0,,2009-01-02 04:20:00
27.9,75.6,0.2,355.1,146.6,0.0,,2009-01-02 04:35:00
27.5,78.9,0.2,349.8,86.3,0.0,,2009-01-02 04:50:00
27.3,78.7,0.2,20.4,125.2,0.0,,2009-01-02 05:05:00
27.3,79.1,0.2,15.7,91.2,0.0,,2009-01-02 06:00:00
27.1,80.7,0.2,39.1,34.21,0.0,,2009-01-02 06:15:00
26.7,81.7,0.2,68.3,5.45,0.0,,2009-01-02 06:30:00
26.2,83.1,0.2,68.3,0.0,0.0,,2009-01-02 06:45:00
25.8,85.7,0.2,68.3,0.0,0.0,,2009-01-02 07:40:00
25.7,86.4,0.2,68.3,0.0,0.0,,2009-01-02 07:55:00
25.7,86.8,0.2,68.3,0.0,0.0,,2009-01-02 08:10:00
25.4,88.9,0.2,72.9,0.0,0.0,,2009-01-02 08:25:00
25.2,89.7,0.2,65.4,0.0,0.0,,2009-01-02 09:20:00
25.2,90.0,0.2,61.1,0.0,0.0,,2009-01-02 09:35:00
24.9,93.3,0.2,137.2,0.0,0.1,,2009-01-02 09:50:00
24.5,95.8,0.3,129.6,0.0,0.0,,2009-01-02 10:05:00
24.4,94.4,0.3,117.1,0.0,0.0,,2009-01-02 11:00:00
24.2,96.2,0.2,72.8,0.0,0.0,,2009-01-02 11:15:00
24.2,99.3,0.2,67.7,0.0,0.0,,2009-01-02 11:30:00
23.8,100.0,0.2,114.1,0.0,0.0,,2009-01-02 11:45:00
23.6,100.0,0.2,65.1,0.0,0.0,,2009-01-02 12:40:00
23.6,100.0,0.2,104.4,0.0,0.0,,2009-01-02 12:55:00
23.5,100.0,0.2,110.0,0.0,0.0,,2009-01-02 13:10:00
23.5,100.0,0.2,80.4,0.0,0.0,,2009-01-02 13:25:00
23.5,100.0,0.2,74.8,0.0,0.0,,2009-01-02 14:20:00
23.4,100.0,0.2,74.8,0.0,0.0,,2009-01-02 14:35:00
23.2,100.0,0.2,162.2,0.0,0.0,,2009-01-02 14:50:00
23.0,100.0,0.2,225.8,0.0,0.0,,2009-01-02 15:05:00
23.2,100.0,0.3,231.0,0.0,0.0,,2009-01-02 00:00:00
23.2,100.0,2.2,229.8,0.0,0.0,,2009-01-02 00:15:00
22.6,100.0,2.5,213.1,0.0,0.0,,2009-01-02 00:30:00
22.1,100.0,1.8,214.8,0.0,0.0,,2009-01-02 00:45:00
21.8,100.0,1.8,206.1,0.0,0.0,,2009-01-02 01:40:00
21.7,100.0,1.3,197.2,0.0,0.0,,2009-01-02 01:55:00
21.6,100.0,0.8,153.9,0.0,0.0,,2009-01-02 02:10:00
21.6,100.0,0.2,162.4,0.0,0.0,,2009-01-02 02:25:00
21.6,100.0,0.2,214.2,0.0,0.0,,2009-01-02 03:20:00
21.6,100.0,0.2,197.1,0.0,0.0,,2009-01-02 03:35:00
21.5,100.0,0.3,145.0,0.0,0.0,,2009-01-02 03:50:00
21.4,100.0,0.2,90.0,0.0,0.0,,2009-01-02 04:05:00
21.4,100.0,0.2,81.7,0.0,0.0,,2009-01-02 05:00:00
21.4,100.0,0.2,64.3,0.0,0.0,,2009-01-02 05:15:00
21.4,100.0,0.2,323.4,0.0,0.0,,2009-01-02 05:30:00
21.4,100.0,0.2,294.2,0.0,0.0,,2009-01-02 05:45:00
21.5,100.0,0.2,257.4,0.0,0.0,,2009-01-02 06:40:00
21.4,100.0,0.2,213.0,0.0,0.0,,2009-01-02 06:55:00
21.4,100.0,0.2,192.1,0.0,0.0,,2009-01-02 07:10:00
21.4,100.0,0.2,212.0,0.0,0.0,,2009-01-02 07:25:00
21.4,100.0,0.2,203.3,0.0,0.0,,2009-01-02 08:20:00
21.4,100.0,0.5,155.7,0.0,0.0,,2009-01-02 08:35:00
21.4,100.0,0.7,154.3,0.0,0.0,,2009-01-02 08:50:00
21.2,100.0,1.0,172.6,0.0,0.1,,2009-01-02 09:05:00
21.2,100.0,1.0,156.4,4.69,0.4,,2009-01-02 10:00:00
21.0,100.0,1.7,136.7,6.67,0.7,,2009-01-02 10:15:00
