Tar_AVG,UR_inst,Vvento_ms_AVG,Dvento_G,Qg_AVG,Chuva_mm,Patm_kPa_AVG,TS
22.3,91.8,2.1,109.2,0.0,0.0,,1999-01-01 00:15:00
22.2,92.3,1.3,100.6,0.0,0.0,,1999-01-01 00:30:00
22.0,93.2,0.8,96.5,0.0,0.0,,1999-01-01 00:45:00
21.5,96.0,0.6,92.9,0.0,0.0,,1999-01-01 01:40:00
21.2,97.5,0.1,88.7,0.0,0.0,,1999-01-01 01:55:00
21.1,97.6,0.0,110.0,0.0,0.0,,1999-01-01 02:10:00
20.9,97.7,0.0,233.6,0.0,0.0,,1999-01-01 02:25:00
20.8,98.5,0.0,242.8,0.0,0.0,,1999-01-01 03:20:00
20.8,98.3,0.0,130.3,0.0,0.0,,1999-01-01 03:35:00
21.0,97.6,0.0,145.1,0.0,0.0,,1999-01-01 03:50:00
20.9,97.7,0.0,155.3,0.0,0.0,,1999-01-01 04:05:00
21.0,97.4,0.0,171.5,0.0,0.0,,1999-01-01 05:00:00
20.9,98.1,0.0,211.9,0.0,0.0,,1999-01-01 05:15:00
21.2,96.6,0.0,182.8,0.0,0.0,,1999-01-01 05:30:00
21.1,97.1,0.0,122.7,0.0,0.0,,1999-01-01 05:45:00
20.8,98.0,0.1,182.0,0.0,0.0,,1999-01-01 06:40:00
20.8,98.2,0.1,176.7,0.0,0.0,,1999-01-01 06:55:00
20.8,98.5,0.5,177.7,0.0,0.0,,1999-01-01 07:10:00
20.6,99.8,0.0,63.4,0.0,0.0,,1999-01-01 07:25:00
20.4,100.0,0.0,105.0,0.0,0.0,,1999-01-01 08:20:00
20.3,100.0,0.0,102.1,0.0,0.0,,1999-01-01 08:35:00
20.3,100.0,0.0,101.5,0.0,0.0,,1999-01-01 08:50:00
20.3,100.0,0.0,101.4,12.3,0.0,,1999-01-01 09:05:00
20.4,100.0,0.0,71.3,26.21,0.0,,1999-01-01 10:00:00
20.4,100.0,0.0,86.4,44.47,0.0,,1999-01-01 10:15:00
20.4,100.0,0.1,90.0,66.56,0.0,,1999-01-01 10:30:00
20.5,100.0,0.0,71.6,67.48,0.0,,1999-01-01 10:45:00
20.7,100.0,0.1,82.7,82.0,0.0,,1999-01-01 11:40:00
20.9,100.0,0.1,75.8,112.0,0.0,,1999-01-01 11:55:00
21.2,100.0,0.3,81.0,129.3,0.0,,1999-01-01 12:10:00
21.3,100.0,0.1,90.0,142.7,0.0,,1999-01-01 12:25:00
22.0,98.1,0.3,69.3,185.6,0.0,,1999-01-01 13:20:00
22.6,96.6,0.2,73.1,220.5,0.0,,1999-01-01 13:35:00
23.0,95.9,0.1,67.6,243.0,0.0,,1999-01-01 13:50:00
23.4,93.9,0.4,72.9,323.6,0.0,,1999-01-01 14:05:00
24.1,91.3,0.8,84.5,503.5,0.0,,1999-01-01 15:00:00
24.5,89.4,0.7,126.1,353.1,0.0,,1999-01-01 15:15:00
24.5,87.4,0.9,266.9,282.2,0.0,,1999-01-01 15:30:00
24.7,86.2,1.1,263.2,303.1,0.0,,1999-01-01 15:45:00
24.8,87.0,1.3,137.1,318.8,0.0,,1999-01-01 16:40:00
24.9,86.0,2.2,108.6,270.1,0.0,,1999-01-01 16:55:00
25.2,86.0,2.5,128.9,593.1,0.0,,1999-01-01 17:10:00
25.6,84.7,2.8,121.3,516.0,0.0,,1999-01-01 17:25:00
25.1,85.1,2.8,107.4,372.2,0.0,,1999-01-01 18:20:00
24.9,85.3,2.6,108.6,286.6,0.0,,1999-01-01 18:35:00
25.1,85.5,2.4,68.8,386.4,0.0,,1999-01-01 18:50:00
25.5,84.2,2.3,178.0,502.0,0.0,,1999-01-01 19:05:00
