Tar_AVG,UR_inst,Vvento_ms_AVG,Dvento_G,Qg_AVG,Chuva_mm,Patm_kPa_AVG,TS
24.6,100,0.2,70.1,0,0,,01/01/2016 00:00
24.4,100,0.2,68.6,0,0,,01/01/2016 00:15
24.2,100,0.2,114.6,0,0,,01/01/2016 00:30
24.1,100,0.2,95.5,0,0,,01/01/2016 00:45
24.1,100,0.2,113,0,0,,01/01/2016 01:40
24.1,100,0.2,107.6,0,0,,01/01/2016 01:55
24.1,100,0.2,127.3,0,0,,01/01/2016 02:10
24,100,0.2,87.4,0,0,,01/01/2016 02:25
24,100,0.2,110.7,0,0,,01/01/2016 03:20
23.9,100,0.2,83.5,0,0,,01/01/2016 03:35
23.9,100,0.2,94.8,0,0,,01/01/2016 03:50
23.8,100,0.2,106.8,0,0,,01/01/2016 04:05
23.7,100,0.2,75.6,0,0,,01/01/2016 05:00
23.7,100,0.2,80.4,0,0,,01/01/2016 05:15
23.6,100,0.2,87.5,0,0,,01/01/2016 05:30
23.5,100,0.2,108.6,0,0,,01/01/2016 05:45
23.4,100,0.2,99.4,0,0,,01/01/2016 06:40
23.5,100,0.2,104,0,0,,01/01/2016 06:55
23.5,100,0.2,108.3,0,0,,01/01/2016 07:10
23.5,100,0.2,124.5,0,0,,01/01/2016 07:25
23.4,100,0.2,90.2,0,0,,01/01/2016 08:20
23.3,100,0.2,92,0,0,,01/01/2016 08:35
23.4,100,0.2,86.4,0,0,,01/01/2016 08:50
23.4,100,0.2,94.6,5.28,0,,01/01/2016 09:05
23.5,100,0.2,113.5,16.97,0,,01/01/2016 10:00
23.5,100,0.2,94.3,31.86,0,,01/01/2016 10:15
23.6,100,0.2,98.1,39.35,0,,01/01/2016 10:30
24.4,100,0.2,109.2,77.1,0,,01/01/2016 10:45
25.3,100,0.2,102.9,225.3,0,,01/01/2016 11:40
26,100,0.2,38.5,293.7,0,,01/01/2016 11:55
26.8,100,0.2,313.3,332.2,0,,01/01/2016 12:10
28,100,0.2,323.4,368.5,0,,01/01/2016 12:25
28.5,100,0.2,194.5,389.5,0,,01/01/2016 13:20
28.7,100,0.4,300,405.3,0,,01/01/2016 13:35
28.9,100,0.7,308,456.3,0,,01/01/2016 13:50
29.3,100,1.4,279.2,566.8,0,,01/01/2016 14:05
29.6,99.9,0.9,279.1,579,0,,01/01/2016 15:00
29.8,98.7,1.1,354.9,425.8,0,,01/01/2016 15:15
30.1,98.4,1.1,350,613,0,,01/01/2016 15:30
31.2,97.7,0.9,326.3,580.2,0,,01/01/2016 15:45
31.8,95.2,1,325.5,911,0,,01/01/2016 16:40
32.2,93.5,1.1,6.5,953,0,,01/01/2016 16:55
33,92.4,0.8,11.7,988,0,,01/01/2016 17:10
33.3,91.5,1,58.3,1036,0,,01/01/2016 17:25
32.6,90.5,1.2,320.9,1020,0,,01/01/2016 18:20
31.7,89.8,1.2,321.8,290.8,0.2,,01/01/2016 18:35
28.5,92.8,1.1,276.1,575.9,0.2,,01/01/2016 18:50
31,98.4,0.6,246.6,583.9,0,,01/01/2016 19:05
31.3,97.2,1.1,257.4,662.5,0,,01/01/2016 20:00
29.1,96.6,1.9,309.1,585,0,,01/01/2016 20:15
28.2,100,1.9,336.1,240.5,0.2,,01/01/2016 20:30
28.8,100,1.3,319.8,299.1,0,,01/01/2016 20:45
30,99.5,0.9,338.4,401.1,0,,01/01/2016 21:40
31.9,99.3,1.3,325,831,0,,01/01/2016 21:55
33.4,93.1,1.3,357.1,1139,0,,01/01/2016 22:10
34,88.3,1.5,350.1,1094,0,,01/01/2016 22:25
34.5,84.8,1.4,322.8,1015,0,,01/01/2016 23:20
35.2,82.1,1.4,306,940,0,,01/01/2016 23:35
34.9,82,1.3,307.8,797,0,,01/01/2016 23:50
35.1,80.8,0.8,317.8,575.6,0,,02/01/2016 00:05
35.1,78,1,282.3,583,0,,02/01/2016 01:00
34.8,77,0.6,19.7,395.1,0,,02/01/2016 01:15
34.4,78.1,0.4,262.7,280.5,0,,02/01/2016 01:30
34.3,78.5,0.4,311.9,259.7,0,,02/01/2016 01:45
32.9,80.2,0.5,9,265.6,0,,02/01/2016 02:40
29.5,84.9,1.9,224.2,160.8,0,,02/01/2016 02:55
27.6,92.8,1.1,215.6,57.74,1.9,,02/01/2016 03:10
25.2,100,0.3,287.9,23.05,6.7,,02/01/2016 03:25
25.4,100,0.2,269.8,29.31,1.6,,02/01/2016 04:20
26,100,0.2,204.9,51.04,0.3,,02/01/2016 04:35
26.4,100,0.2,73.7,111.5,0.1,,02/01/2016 04:50
27,100,0.2,121.7,147.4,0,,02/01/2016 05:05
27.3,100,0.2,175.4,139.2,0,,02/01/2016 06:00
27.3,100,0.2,89.6,83.9,0,,02/01/2016 06:15
26.9,100,0.2,24.4,35.17,0,,02/01/2016 06:30
26.9,100,0.2,55.4,23.04,0,,02/01/2016 06:45
26.8,100,0.2,267.3,7.41,0,,02/01/2016 07:40
26.5,100,0.2,51.3,3.22,0,,02/01/2016 07:55
26.4,100,0.2,319.8,0,0,,02/01/2016 08:10
26.3,100,0.2,308.6,0,0,,02/01/2016 08:25
26.2,100,0.2,320.2,0,0,,02/01/2016 09:20
26.2,100,0.2,307,0,0,,02/01/2016 09:35
26.2,100,0.2,9.5,0,0,,02/01/2016 09:50
26.1,100,0.2,335.3,0,0,,02/01/2016 10:05
25.9,100,0.2,326.4,0,0,,02/01/2016 11:00
25.9,100,0.2,333.2,0,0,,02/01/2016 11:15
25.8,100,0.2,273.7,0,0,,02/01/2016 11:30
25.7,100,0.2,259.5,0,0,,02/01/2016 11:45
25.6,100,0.2,335.5,0,0,,02/01/2016 12:40
25.6,100,0.2,65.9,0,0,,02/01/2016 12:55
25.6,100,0.2,81.5,0,0,,02/01/2016 13:10
25.6,100,0.2,122.1,0,0,,02/01/2016 13:25
25.5,100,0.2,111.8,0,0,,02/01/2016 14:20
25.5,100,0.2,92.8,0,0,,02/01/2016 14:35
25.5,100,0.2,57.9,0,0,,02/01/2016 14:50
25.5,100,0.2,119.5,0,0,,02/01/2016 15:05
25.6,100,0.2,19.5,0,0,,02/01/2016 00:00
25.6,100,0.2,355.6,0,0,,02/01/2016 00:15
25.6,100,0.2,69.7,0,0,,02/01/2016 00:30
25.7,100,0.2,348.1,0,0,,02/01/2016 00:45
25.6,100,0.2,307.1,0,0,,02/01/2016 01:40
25.3,100,0.2,284.8,0,3.5,,02/01/2016 01:55
24.9,100,0.2,261.8,0,2.1,,02/01/2016 02:10
24.8,100,0.2,271.4,0,1,,02/01/2016 02:25
24.8,100,0.2,234.6,0,0.3,,02/01/2016 03:20
24.9,100,0.2,191.1,0,0,,02/01/2016 03:35
24.8,100,0.2,50.1,0,0,,02/01/2016 03:50
24.9,100,0.2,24.1,0,0,,02/01/2016 04:05
25.1,100,0.2,11.3,0,0,,02/01/2016 05:00
25,100,0.2,86.3,0,0,,02/01/2016 05:15
25,100,0.2,77.6,0,0,,02/01/2016 05:30
25,100,0.2,112.9,0,0.2,,02/01/2016 05:45
24.8,100,0.2,80.2,0,0.2,,02/01/2016 06:40
24.7,100,0.2,55.6,0,0.1,,02/01/2016 06:55
24.5,100,0.2,52.8,0,0.1,,02/01/2016 07:10
24.5,100,0.2,75.4,0,0.2,,02/01/2016 07:25
24.4,100,0.2,36.5,0,0.2,,02/01/2016 08:20
24.4,100,0.2,70.3,0,0.1,,02/01/2016 08:35
24.4,100,0.2,120.3,0,0.1,,02/01/2016 08:50
24.4,100,0.2,107.6,0,0,,02/01/2016 09:05
24.6,100,0.2,57.1,5.32,0,,02/01/2016 10:00
24.3,100,0.2,36.5,20.39,0,,02/01/2016 10:15
24.3,100,0.2,47.4,35.4,0,,02/01/2016 10:30
24.7,100,0.2,46.3,52.7,0,,02/01/2016 10:45
25.1,100,0.2,114.3,90.7,0,,02/01/2016 11:40
25.3,100,0.2,103.9,110.9,0.1,,02/01/2016 11:55
25.7,100,0.2,78.7,184.8,0,,02/01/2016 12:10
26,100,0.4,74.7,274,0,,02/01/2016 12:25
26.2,100,0.4,82.3,225.6,0,,02/01/2016 13:20
26.4,100,0.3,83.1,182.2,0,,02/01/2016 13:35
26.6,100,0.4,101.1,205.3,0,,02/01/2016 13:50
27.1,100,0.4,112.1,259.6,0,,02/01/2016 14:05
27.6,100,0.2,86.6,328.5,0,,02/01/2016 15:00
27.9,100,0.4,9.3,351.4,0,,02/01/2016 15:15
28.4,100,0.7,359.2,366.9,0,,02/01/2016 15:30
29.1,100,0.9,8.8,532,0,,02/01/2016 15:45
29.6,98.9,0.7,24.4,660.5,0,,02/01/2016 16:40
30.1,98.1,0.6,25.2,551.8,0,,02/01/2016 16:55
30.4,98.4,0.8,307.9,677.2,0,,02/01/2016 17:10
30.1,96,0.8,350.3,567.3,0,,02/01/2016 17:25
30.3,96.7,0.8,314.4,314.7,0,,02/01/2016 18:20
31,95.2,0.9,293,610.3,0,,02/01/2016 18:35
31.4,94.3,1.2,18.9,757,0,,02/01/2016 18:50
31.8,93.1,0.7,349.5,777,0,,02/01/2016 19:05
33,91.4,0.5,29.9,1007,0,,02/01/2016 20:00
32.7,88.8,0.9,306.4,1108,0,,02/01/2016 20:15
32.7,88.4,1.2,335.1,1136,0,,02/01/2016 20:30
33.2,87.7,1,292.8,793,0,,02/01/2016 20:45
34,85.7,1,288.9,1093,0,,02/01/2016 21:40
34.6,84.6,1.5,284.2,995,0,,02/01/2016 21:55
34.2,84.4,2,268.2,883,0,,02/01/2016 22:10
34.3,83.4,2.8,268,792,0,,02/01/2016 22:25
34.2,84.4,1.7,283.3,695,0,,02/01/2016 23:20
32.3,83.7,2.2,271.6,504.6,0,,02/01/2016 23:35
29.3,86.9,2.6,304.1,265.4,0.3,,02/01/2016 23:50
31.3,97.1,0.8,297.8,418.1,0,,03/01/2016 00:05
33.4,95.1,1.5,282.2,705,0,,03/01/2016 01:00
35,87.2,0.7,283.6,605.7,0,,03/01/2016 01:15
35.4,81,1,247.5,947,0,,03/01/2016 01:30
35.5,80.7,1.8,293.6,744,0,,03/01/2016 01:45
34,82,1.6,289.8,564.5,0,,03/01/2016 02:40
