Tar_AVG,UR_inst,Vvento_ms_AVG,Dvento_G,Qg_AVG,Chuva_mm,Patm_kPa_AVG,TS
24.5,83.3,0.2,327.3,0.0,0.0,,2003-01-01 00:15:00
24.4,84.3,1.5,99.5,0.0,0.0,,2003-01-01 00:30:00
24.2,86.3,1.8,104.8,0.0,0.0,,2003-01-01 00:45:00
23.6,90.0,1.0,91.2,0.0,0.0,,2003-01-01 01:40:00
23.2,93.5,0.8,131.7,0.0,0.0,,2003-01-01 01:55:00
23.3,93.7,0.5,89.7,0.0,0.0,,2003-01-01 02:10:00
22.8,96.9,0.6,96.1,0.0,0.0,,2003-01-01 02:25:00
22.7,97.8,1.0,99.8,0.0,0.0,,2003-01-01 03:20:00
22.7,97.7,0.8,90.3,0.0,0.0,,2003-01-01 03:35:00
22.6,98.2,1.3,103.0,0.0,0.0,,2003-01-01 03:50:00
23.1,96.5,1.3,90.5,0.0,0.0,,2003-01-01 04:05:00
23.0,96.9,0.8,81.1,0.0,0.0,,2003-01-01 05:00:00
22.8,97.5,0.4,65.1,0.0,0.0,,2003-01-01 05:15:00
22.8,97.5,0.4,127.7,0.0,0.0,,2003-01-01 05:30:00
22.4,98.4,0.4,303.0,0.0,0.0,,2003-01-01 05:45:00
22.0,99.9,0.3,306.1,0.0,0.0,,2003-01-01 06:40:00
21.9,99.7,0.9,273.7,0.0,0.0,,2003-01-01 06:55:00
21.9,98.6,0.7,233.5,0.0,0.0,,2003-01-01 07:10:00
22.2,98.4,0.9,198.5,0.0,0.0,,2003-01-01 07:25:00
22.4,97.0,0.4,196.7,0.0,0.0,,2003-01-01 08:20:00
22.3,97.7,0.2,141.7,0.0,0.0,,2003-01-01 08:35:00
22.2,99.0,0.2,176.5,0.0,0.0,,2003-01-01 08:50:00
21.9,99.3,0.2,17.0,6.24,0.0,,2003-01-01 09:05:00
21.9,99.2,0.2,28.4,25.34,0.0,,2003-01-01 10:00:00
21.9,100.0,0.2,66.8,57.36,0.0,,2003-01-01 10:15:00
22.5,98.9,0.3,87.6,100.7,0.0,,2003-01-01 10:30:00
23.0,97.9,0.3,80.1,151.3,0.0,,2003-01-01 10:45:00
23.5,96.8,0.4,64.3,201.3,0.0,,2003-01-01 11:40:00
23.9,96.3,0.9,77.8,252.4,0.0,,2003-01-01 11:55:00
24.7,92.5,0.7,67.4,307.4,0.0,,2003-01-01 12:10:00
25.4,88.1,0.4,95.6,356.7,0.0,,2003-01-01 12:25:00
26.1,84.1,0.4,226.9,417.7,0.0,,2003-01-01 13:20:00
26.5,81.9,1.0,228.1,472.5,0.0,,2003-01-01 13:35:00
26.7,81.8,1.1,244.8,521.4,0.0,,2003-01-01 13:50:00
27.1,80.4,1.4,276.5,575.1,0.0,,2003-01-01 14:05:00
27.5,79.0,1.2,211.7,622.6,0.0,,2003-01-01 15:00:00
28.2,76.4,1.1,287.8,671.1,0.0,,2003-01-01 15:15:00
28.7,74.1,1.5,271.5,717.0,0.0,,2003-01-01 15:30:00
29.2,70.6,1.9,238.6,759.0,0.0,,2003-01-01 15:45:00
29.6,70.7,2.0,257.9,800.0,0.0,,2003-01-01 16:40:00
29.9,69.6,1.7,286.6,831.0,0.0,,2003-01-01 16:55:00
