TS,Tar_AVG,UR_inst,Vvento_ms_AVG,Dvento_G,Qg_AVG,Chuva_mm,Patm_kPa_AVG
01/01/2017 00:00,22.17,90.7,0.421,54.9,0,0,94.9
01/01/2017 00:15,22.12,89.2,0.42,77.83,0,0,94.9
01/01/2017 00:30,22.09,89.9,0.933,72.25,0,0,94.9
01/01/2017 00:45,22.27,87.4,0.937,85,0,0,94.9
01/01/2017 01:00,22.19,88.6,0.398,66.21,0,0,94.9
01/01/2017 01:15,22.1,90.1,0.268,92.9,0,0,94.9
01/01/2017 01:30,21.9,91.4,0.406,74.8,0,0,94.9
01/01/2017 01:45,21.75,92.5,0.918,67.02,0,0,94.9
01/01/2017 02:00,21.33,95.6,1.126,63.77,0,0,94.9
01/01/2017 02:15,21.19,93.8,1.296,74.58,0,0,94.9
01/01/2017 02:30,21.28,94.1,1.149,63.14,0,0,94.9
01/01/2017 02:45,21.16,94.3,1,61.7,0,0,94.9
01/01/2017 03:00,21.16,93.8,0.638,48.41,0,0,94.9
01/01/2017 03:15,21,96,0.797,61.36,0,0,94.9
01/01/2017 03:30,20.91,95.3,0.129,161.4,0,0,94.9
01/01/2017 03:45,20.83,95.5,0.082,208.5,0,0,94.9
01/01/2017 04:00,20.79,95.6,0.181,176.2,0,0,94.9
01/01/2017 04:15,20.83,95.4,0.277,15.46,0,0,94.9
01/01/2017 04:30,20.82,95.1,0.658,321.9,0,0,94.9
01/01/2017 04:45,21,94.1,0.129,330.3,0,0,94.9
01/01/2017 05:00,21.04,94.6,0.289,55.75,0,0,94.9
01/01/2017 05:15,20.89,95.5,0.869,71.61,0,0,94.9
01/01/2017 05:30,20.44,97.3,1.22,68.55,1.931,0,94.9
01/01/2017 05:45,20.6,96.9,0.687,84.6,13.94,0,94.9
01/01/2017 06:00,20.78,95.9,0.769,70.15,39.28,0,94.9
01/01/2017 06:15,20.95,93.7,1.059,57.77,99.5,0,94.9
01/01/2017 06:30,21.48,91.9,0.777,77,128.9,0,95
01/01/2017 06:45,21.81,92.3,0.698,54.51,114.4,0,95
01/01/2017 07:00,22.13,89.5,0.544,70.28,164.7,0,95
01/01/2017 07:15,22.57,90.5,0.582,29.12,142.7,0,95
01/01/2017 07:30,22.68,90.1,0.599,350,156.2,0,95
01/01/2017 07:45,22.98,88.5,0.473,338.7,178.9,0,95
01/01/2017 08:00,23.25,88.6,0.624,351.6,216.8,0,95
01/01/2017 08:15,23.6,85.3,0.608,357.7,235,0,95.1
01/01/2017 08:30,24.38,82.6,0.813,286.1,494.6,0,95.1
01/01/2017 08:45,25.47,76.69,1.224,292.8,707.6,0,95.1
01/01/2017 09:00,26.28,70.27,1.647,287.4,726.2,0,95.1
01/01/2017 09:15,26.24,74.96,1.781,282,677.5,0,95.1
01/01/2017 09:30,26.62,69.99,1.636,309.6,790.6,0,95.1
01/01/2017 09:45,27.34,65.67,2.107,281,876,0,95.1
01/01/2017 10:00,27.65,64.96,2.701,251.6,900,0,95.1
01/01/2017 10:15,27.87,70.06,2.834,231.3,976,0,95.1
01/01/2017 10:30,28.36,65.54,2.478,254.4,915,0,95.1
01/01/2017 10:45,28.36,65.4,2.778,244.5,1033,0,95.1
01/01/2017 11:00,28.74,65.16,3.324,250,1047,0,95
01/01/2017 11:15,28.95,64.96,3.64,238,1069,0,95
01/01/2017 11:30,29.32,59.93,3.571,245.2,1087,0,95
01/01/2017 11:45,29.53,62.04,3.753,245.9,1103,0,95
01/01/2017 12:00,29.93,55.64,3.845,237.7,1106,0,95
01/01/2017 12:15,30.19,57.75,3.311,237.8,1118,0,95
01/01/2017 12:30,30.52,55.58,3.637,235.9,1133,0,95
01/01/2017 12:45,30.77,50.68,3.874,247.1,1135,0,95
01/01/2017 13:00,30.93,49.22,4.068,250.7,1120,0,95
01/01/2017 13:15,30.92,52.62,4.14,255.8,1097,0,94.9
01/01/2017 13:30,30.99,50.82,4.091,259.4,1080,0,94.9
01/01/2017 13:45,31.53,48.44,3.453,237.8,1093,0,94.9
01/01/2017 14:00,31.62,47.62,4.261,261.6,1117,0,94.9
01/01/2017 14:15,31.8,51.19,3.841,242.2,1065,0,94.9
01/01/2017 14:30,31.39,52.62,3.874,254.7,736.5,0,94.9
01/01/2017 14:45,30.72,54.76,2.728,245.7,356,0,94.9
01/01/2017 15:00,30.56,53.06,2.711,234.9,374.9,0,94.9
01/01/2017 15:15,30.73,52.62,2.615,237,425.2,0,94.9
01/01/2017 15:30,30.98,52.86,3.256,256.5,553.8,0,94.8
01/01/2017 15:45,31.57,51.5,3.584,249.8,774.1,0,94.8
01/01/2017 16:00,31.71,49.35,3.649,245,661.8,0,94.8
01/01/2017 16:15,30.95,53.67,3.358,244.9,347.4,0,94.8
01/01/2017 16:30,28.93,59.42,5.399,214.4,167.6,0,94.8
01/01/2017 16:45,27.07,62.17,4.449,215.5,139.2,0,94.8
01/01/2017 17:00,26.85,63.57,2.92,215.7,152.1,0,94.8
01/01/2017 17:15,26.99,62.55,1.998,225.6,121.8,0,94.8
01/01/2017 17:30,27.56,59.18,1.745,225.8,221.4,0,94.8
01/01/2017 17:45,28.25,61.76,1.133,206.4,213.4,0,94.8
01/01/2017 18:00,27.7,62.04,0.792,18.53,141,0,94.8
01/01/2017 18:15,27.43,64.89,0.476,73.1,74.54,0,94.8
01/01/2017 18:30,26.71,73.43,1.082,77.61,36.75,0,94.8
01/01/2017 18:45,26.55,62.85,1.2,167.3,14.4,0,94.8
01/01/2017 19:00,26.96,62.17,1.651,183.2,2.804,0,94.9
01/01/2017 19:15,26.8,63.97,1.541,182,0.034,0,94.9
01/01/2017 19:30,26.51,64.69,1.473,191,0,0,94.9
01/01/2017 19:45,26.29,65.81,1.473,173.5,0,0,94.9
01/01/2017 20:00,25.98,66.69,1.264,161.2,0,0,94.9
01/01/2017 20:15,25.89,67.75,1.314,155.3,0,0,94.9
01/01/2017 20:30,25.8,67.61,1.388,157.8,0,0,94.9
01/01/2017 20:45,25.83,67.75,1.268,148.6,0,0,94.9
01/01/2017 21:00,25.61,68.8,0.779,156.3,0,0,94.9
01/01/2017 21:15,25.52,68.84,1.02,126.8,0,0,95
01/01/2017 21:30,24.55,79.31,0.985,60.08,0,0,95
01/01/2017 21:45,24.06,79.85,0.82,87.3,0,0,94.9
01/01/2017 22:00,24.1,80.4,0.747,73.44,0,0,94.9
01/01/2017 22:15,23.76,80.1,0.328,88,0,0,95
01/01/2017 22:30,23.84,81.8,0.413,82.6,0,0,95
01/01/2017 22:45,23.71,83.5,0.428,90.4,0,0,95
01/01/2017 23:00,23.69,81.5,0.294,126.3,0,0,95
01/01/2017 23:15,23.59,84.3,0.706,65.79,0,0,95
01/01/2017 23:30,23.45,85.3,0.305,110.1,0,0,95
01/01/2017 23:45,23.67,79.38,0.221,108.3,0,0,94.9
02/01/2017 00:00,23.15,88.8,0.844,44.78,0,0,94.9
02/01/2017 00:15,22.63,92.7,0.918,42.22,0,0,94.9
02/01/2017 00:30,22.22,92.2,0.825,77.55,0,0,94.9
02/01/2017 00:45,22.37,88.4,0.575,82.9,0,0,94.9
02/01/2017 01:00,22.5,87.2,0.386,81.9,0,0,94.9
02/01/2017 01:15,22.4,88,0.077,45.82,0,0,94.9
02/01/2017 01:30,22.25,90.7,0.207,61.65,0,0,94.8
02/01/2017 01:45,22.07,90.4,0.678,65.99,0,0,94.8
02/01/2017 02:00,21.92,89.4,0.573,82.1,0,0,94.8
02/01/2017 02:15,22.27,87.6,0.651,26.9,0,0,94.8
02/01/2017 02:30,22.05,90.9,0.689,49.97,0,0,94.8
02/01/2017 02:45,21.91,91.1,0.632,67.56,0,0,94.7
02/01/2017 03:00,21.71,93.3,0.463,58.27,0,0,94.7
02/01/2017 03:15,21.6,91.9,0.379,61.59,0,0,94.7
02/01/2017 03:30,21.71,92.4,0.483,59.43,0,0,94.7
02/01/2017 03:45,21.5,92.8,0.281,84.2,0,0,94.7
02/01/2017 04:00,21.56,92.5,0.008,11.23,0,0,94.7
02/01/2017 04:15,21.54,92.6,0.016,50.22,0,0,94.7
02/01/2017 04:30,21.59,92.3,0.303,70.72,0,0,94.7
02/01/2017 04:45,21.39,94,0.308,67.86,0,0,94.8
02/01/2017 05:00,21.3,92.9,0.57,95.1,0,0,94.8
02/01/2017 05:15,21.49,93.5,0.673,74.62,0,0,94.8
02/01/2017 05:30,20.84,96.1,0.85,58.55,1.36,0,94.8
02/01/2017 05:45,20.74,95.8,0.732,49.04,16.98,0,94.8
02/01/2017 06:00,20.81,94.4,0.73,48.57,44.2,0,94.8
02/01/2017 06:15,21.42,91.2,0.824,43.65,62.32,0,94.8
02/01/2017 06:30,21.69,90.9,0.565,39.53,70.75,0,94.8
02/01/2017 06:45,22.02,89.6,0.704,283.7,88.8,0,94.9
02/01/2017 07:00,22.26,87.7,1.056,265.2,183.2,0,94.9
02/01/2017 07:15,23.3,81.8,0.651,275.2,319,0,94.9
02/01/2017 07:30,24.18,79.72,0.833,301.3,386.2,0,94.9
02/01/2017 07:45,24.95,79.65,1.094,300.1,454.8,0,94.9
02/01/2017 08:00,25.36,78.19,1.06,315.2,506.6,0,94.9
02/01/2017 08:15,25.53,78.29,1.525,303.3,393.9,0,95
02/01/2017 08:30,25.78,77.17,1.535,287.6,505,0,95
02/01/2017 08:45,25.88,77.03,1.56,290.8,473.1,0,95
02/01/2017 09:00,25.84,79.41,1.758,280.6,362.1,0,95
02/01/2017 09:15,25.92,77.71,2.518,239.6,554.6,0,95
02/01/2017 09:30,25.82,76.69,2.567,251,472.7,0,95
02/01/2017 09:45,26.35,71.39,2.688,253.4,809,0,95
02/01/2017 10:00,26.59,71.52,2.332,249.9,728.7,0,95
02/01/2017 10:15,27.03,69.79,2.116,237.7,769,0,95
02/01/2017 10:30,27.25,67.81,2.694,248,754,0,95
02/01/2017 10:45,27.53,66.66,2.295,253.7,805,0,95
02/01/2017 11:00,27.49,68.77,2.372,243.3,745.3,0,95
02/01/2017 11:15,27.99,62.24,1.881,243.4,885,0,95
02/01/2017 11:30,28.48,61.02,2.153,246.8,1078,0,95
02/01/2017 11:45,28.53,60.81,2.534,235.7,802,0,95
02/01/2017 12:00,28.63,66.59,2.257,271.7,1018,0,95
02/01/2017 12:15,28.76,61.29,2.489,233.9,706.3,0,95
02/01/2017 12:30,28.83,63.53,2.382,236.6,739.6,0,94.9
02/01/2017 12:45,28.91,63.67,2.573,250.8,765.2,0,94.9
02/01/2017 13:00,28.72,64.42,2.484,272.9,711.9,0,94.9
02/01/2017 13:15,28.7,67.68,2.103,277.4,744.4,0,94.9
02/01/2017 13:30,29.09,59.52,2.252,269.7,817,0,94.9
02/01/2017 13:45,29.43,57.89,2.449,267.1,1094,0,94.8
02/01/2017 14:00,30.15,57.11,1.822,278.4,977,0,94.8
02/01/2017 14:15,30.13,58.84,1.807,296.5,794.4,0,94.8
02/01/2017 14:30,29.73,60.68,1.281,306.4,543.9,0,94.8
02/01/2017 14:45,30.45,57.62,1.686,255.7,717.4,0,94.7
02/01/2017 15:00,30.8,57.75,2.194,299.8,898,0,94.7
02/01/2017 15:15,30.79,59.11,2.058,260.9,790.5,0,94.7
02/01/2017 15:30,31,57.55,2.346,274.4,642.5,0,94.7
02/01/2017 15:45,30.63,55.75,1.703,274,603,0,94.6
02/01/2017 16:00,31.15,54.96,2.095,259.4,498.8,0,94.6
02/01/2017 16:15,31.08,53.2,2.047,263.2,531,0,94.6
02/01/2017 16:30,31.24,48.3,1.827,256.3,476.4,0,94.6
